30-9-2013 14:9:38.527	I : Log file <D:\JSW-SMS-3\SMC\source\Tools\Simulator\Simulator\Executable\SimLog\> deleted.;  FILE: .\CLogWriterWrapper.cpp; FUNCTION: CLogWriterWrapper::removeNeedlessLogFiles; LINE: 77; .NET Output: ->Void removeNeedlessLogFiles()->Void initViewComponent()->Void initComponent()
30-9-2013 14:9:38.605	I : Interface: D:\JSW-SMS-3\SMC\source\TELCOM\TELCOM_IN\TELCOM_IN_Frame\Telcom_In.xml;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1157; .NET Output: ->Int32 loadInterface(System.String)->Void loadInterfaces()->Void initViewComponent()
30-9-2013 14:9:39.27	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
30-9-2013 14:9:39.27	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.27	I : Telcom_In->Head For TelCom use only; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.27	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.27	I : Telcom_In->CCSSMC01 Required ladle arrival time from CCS; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.27	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.27	I : Telcom_In->CCSSMC02 Caster and Heat status to SMC; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.42	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.42	I : Telcom_In->EAL200 Acknowledge to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.42	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.42	I : Telcom_In->EAL201 Watchdog to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.42	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.42	I : Telcom_In->EAL203 Announcement of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.42	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.58	I : Telcom_In->EAL204 Start of Heat; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.58	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.58	I : Telcom_In->EAL205 End of Heat/Ladle Departure; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.58	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.58	I : Telcom_In->EAL206 Heat Cancellation; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.58	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
30-9-2013 14:9:39.73	I : Telcom_In->EAL207 Tapping Start/End; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
30-9-2013 14:9:39.73	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
